Obs,HHMMSS,FTime,EBal?,Photo,Cond,Ci,Trmmol,VpdL,CTleaf,Area,BLC_1,StmRat,BLCond,Tair,Tleaf,TBlk,CO2R,CO2S,H2OR,H2OS,RH_R,RH_S,Flow,PARi,PARo,Press,CsMch,HsMch,StableF,BLCslope,BLCoffst,f_parin,f_parout,alphaK,Status,fda,Trans,Tair_K,Twall_K,R(W/m2),Tl-Ta,SVTleaf,h2o_i,h20diff,CTair,SVTair,CndTotal,vp_kPa,VpdA,CndCO2,Ci_Pa,Ci/Ca,RHsfc,C2sfc,AHs/Cs,temp,code,Rd
23,12:01:58,5287.5,0,8.394999874,0.579369752,12.52154561,6.207110811,1.289197106,24.83116341,6,1.420000017,1,2.840000033,23.66611481,24.83116341,22.84200859,50.64574051,40.28673172,10.83934212,18.14212036,37.82966614,63.31660461,500.7272949,1800.369751,742.1486206,102.4474869,-2.267808914,-0.377666175,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.834545492,0.006207111,297.9811634,296.8161148,288.0591537,0.013270982,3.147811743,30.72610016,12.5839798,24.24863911,3.03999979,0.481202742,1.858614638,1.181385153,0.308259893,1.282800879,0.310810658,65.1320641,36.29615084,0.150645084,25,m2.1,2
24,12:12:45,5934.5,0,16.51554732,0.616195138,27.82953703,6.623951235,1.306567993,25.18645859,6,1.420000017,1,2.840000033,24.88755608,25.18645859,24.6037674,100.2015305,79.77780914,10.84283257,18.63238335,35.1661911,60.42977905,500.7116394,1799.270142,350.7021484,102.4360962,-2.383020401,-0.40337342,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.834519399,0.006623951,298.3364586,298.0375561,287.8832162,-0.090584086,3.215196606,31.38734026,12.75495691,25.03700733,3.186699818,0.506335472,1.908628613,1.278071205,0.324783473,2.850749132,0.348838071,65.75128012,71.92710893,0.15097484,25,m2.1,2
25,12:15:15,6085,0,23.39591428,0.654698611,51.94775168,6.694133907,1.256698699,25.00328636,6,1.420000017,1,2.840000033,24.02290344,25.00328636,23.21827316,151.1275482,122.1152878,10.90873432,18.7789669,37.25866318,64.13935852,500.7545776,1800.934082,416.0039063,102.4338531,-2.441736221,-0.399015129,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.834590963,0.006694134,298.1532864,297.1729034,288.1494467,-0.215663407,3.180300637,31.04735924,12.26839234,24.5130949,3.088537647,0.532047042,1.923601938,1.164935709,0.34173232,5.321208367,0.425399249,67.06722636,110.9939906,0.141367931,25,m2.1,2
26,12:17:45,6234.5,0,28.38561221,0.644099492,79.38195081,6.540619361,1.244575878,24.82467079,6,1.420000017,1,2.840000033,24.49160385,24.82467079,24.22795868,201.2821198,165.9675903,10.87730312,18.56922722,36.11995697,61.66231537,500.7198486,1801.074341,582.4976807,102.4283905,-2.68494606,-0.387807548,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.834533081,0.006540619,297.9746708,297.6416039,288.1718881,-0.048114071,3.146591935,30.71991973,12.15069251,24.65813732,3.115445101,0.525025926,1.902016057,1.213429044,0.337099562,8.130965457,0.478297905,66.94433928,152.4744298,0.124627851,25,m2.1,2
27,12:20:15,6384.5,0,32.23680047,0.627970303,110.1442836,6.713126699,1.303460645,25.23961639,6,1.420000017,1,2.840000033,24.8157711,25.23961639,24.40863609,251.4283295,211.098465,10.87031364,18.76416969,35.40296173,61.1120491,500.6800537,1800.156982,281.3973999,102.4252853,-3.05188942,-0.392270744,0.666666687,-0.219565243,2.737391472,1,0,0.159999996,111115,0.834466756,0.006713127,298.3896164,297.9657711,288.0251107,-0.152372902,3.22538608,31.49013517,12.72596548,25.02769375,3.184931269,0.514259209,1.921925435,1.263005834,0.330001904,11.28155967,0.521767335,66.05223302,195.7746339,0.10876346,25,m2.1,2
28,12:22:45,6535,0,34.45972203,0.600406512,168.8042099,6.374799084,1.284764284,24.96841049,6,1.420000017,1,2.840000033,23.98148918,24.96841049,23.22540474,325.224823,281.7778015,10.94491386,18.44320107,37.46982574,63.14015579,500.6925354,1800.356445,701.6403198,102.4187622,-3.604257584,-0.38084954,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.834487559,0.006374799,298.1184105,297.1314892,288.0570248,-0.050752166,3.173694109,30.98742887,12.5442278,24.47494984,3.081495016,0.495625878,1.888929824,1.192565192,0.317737149,17.28871823,0.599068518,65.73619697,265.3973,0.085353207,25,m2.1,2
29,12:25:15,6684.5,0,34.96472849,0.549523067,231.4036839,5.965204939,1.294610207,24.76482391,6,1.420000017,1,2.840000033,24.20704842,24.76482391,23.81404877,400.4649658,356.020813,10.9538517,17.97364426,36.9944725,60.70243454,500.6975708,1801.462646,283.0538025,102.4142532,-4.403726578,-0.359058082,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.834495951,0.005965205,297.9148239,297.3570484,288.234017,0.223164618,3.135367562,30.61456255,12.64091829,24.48593616,3.083521954,0.460432185,1.840757354,1.2427646,0.294636721,23.69903549,0.649972348,64.54223287,339.4002556,0.066490865,25,m2.1,2
30,12:27:45,6835,0,35.67364185,0.435336452,443.1305974,5.418378365,1.434347328,25.10749245,6,1.420000017,1,2.840000033,24.70026588,25.10749245,24.38323212,649.9022217,603.2376709,10.86162186,17.2425251,35.6133728,56.5352478,500.7082825,1799.531982,457.545166,102.407547,-7.874429703,-0.338199317,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.834513804,0.005418378,298.2574924,297.8502659,287.9251108,0.525083467,3.200112028,31.24879095,14.00626585,24.90387917,3.161501574,0.377474359,1.7657647,1.395736874,0.240516865,45.37991748,0.734587077,60.1699294,586.2801301,0.036611858,25,m2.1,2
31,12:30:21,6990.5,0,37.04013858,0.321583324,922.6588873,4.456230854,1.542256614,25.08979225,6,1.420000017,1,2.840000033,23.84740257,25.08979225,23.0236721,1200.547119,1150.02063,10.90313148,16.15678787,37.62258148,55.7509613,500.7064209,1800.318115,215.6255951,102.4017105,-15.78544044,-0.28158921,0.666666687,-0.219565243,2.737391472,1,0,0.159999996,111115,0.834510701,0.004456231,298.2397923,296.9974026,288.050892,0.91706048,3.196739329,31.21763604,15.06084817,24.46859741,3.080323548,0.288873184,1.654482714,1.425840833,0.183224791,94.48184828,0.802297683,55.61112403,1132.413522,0.018189855,25,m2.1,2
32,12:32:54,7144,0,36.04132819,0.192994577,1101.470448,3.02026144,1.673031232,24.79591179,6,1.420000017,1,2.840000033,23.99366379,24.79591179,23.63644218,1499.917725,1451.474731,10.76890755,14.33631325,36.83668137,49.03953171,500.6936035,1800.377808,205.9843445,102.4086533,-20.9266758,-0.219217956,0.666666687,-0.219565243,2.737391472,1,0,0.159999996,111115,0.834489339,0.003020261,297.9459118,297.1436638,288.0604428,1.727313314,3.141193765,30.67312834,16.33681509,24.39478779,3.066740622,0.180714006,1.468162532,1.59857809,0.113988917,112.8001052,0.758862985,48.97989364,1434.34241,0.012307385,25,m2.1,2
